zipcode,major_city,county,state,population,population_density,land_area_in_sqmi,housing_units,occupied_housing_units,median_home_value,median_household_income
20147,Ashburn,Loudoun County,VA,54086,2721,19.87,19719,19046,444000,122115
20148,Ashburn,Loudoun County,VA,28310,1739,16.28,9170,8806,536000,161433
20149,Ashburn,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
20152,Chantilly,Loudoun County,VA,24946,1002,24.89,7876,7624,517000,144250
20158,Hamilton,Loudoun County,VA,4288,295,14.55,1588,1520,490000,120991
20159,Hamilton,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
20160,Lincoln,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
20163,Sterling,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
20164,Sterling,Loudoun County,VA,37747,5094,7.41,12565,12036,299400,87288
20165,Sterling,Loudoun County,VA,32383,3301,9.81,11774,11455,440900,129827
20166,Sterling,Loudoun County,VA,9521,546,17.45,3464,3321,320100,106797
20167,Sterling,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
20175,Leesburg,Loudoun County,VA,27169,435,62.45,10083,9544,464800,112815
20176,Leesburg,Loudoun County,VA,46506,816,56.98,16166,15425,448500,113668
20177,Leesburg,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
20178,Leesburg,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
20180,Lovettsville,Loudoun County,VA,6549,153,42.74,2395,2239,450100,123594
20189,Dulles,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
20197,Waterford,Loudoun County,VA,1840,137,13.43,661,606,661900,136677
20199,Dulles,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
22093,Ashburn,Loudoun County,VA,NA,NA,NA,NA,NA,NA,NA
20108,Manassas,Manassas City,VA,NA,NA,NA,NA,NA,NA,NA
20110,Manassas,Manassas city,VA,43876,3475,12.63,14714,14053,253500,75584
20113,Manassas,Manassas City,VA,NA,NA,NA,NA,NA,NA,NA
20109,Manassas,Prince William County,VA,37265,1819,20.49,13584,12852,230000,65017
20111,Manassas,Prince William County,VA,30590,1879,16.28,10074,9490,280200,85829
20112,Manassas,Prince William County,VA,25833,661,39.1,8448,8169,421200,139902
20136,Bristow,Prince William County,VA,28498,1943,14.67,8483,8294,374300,128444
20143,Catharpin,Prince William County,VA,1216,158,7.72,408,397,647900,139938
20155,Gainesville,Prince William County,VA,29411,1018,28.9,10357,9943,396400,127974
20156,Gainesville,Prince William County,VA,NA,NA,NA,NA,NA,NA,NA
20168,Haymarket,Prince William County,VA,NA,NA,NA,NA,NA,NA,NA
20169,Haymarket,Prince William County,VA,19801,614,32.23,6746,6502,467600,139508
20181,Nokesville,Prince William County,VA,7877,133,59.18,2758,2635,396100,108438
20182,Nokesville,Prince William County,VA,NA,NA,NA,NA,NA,NA,NA
22025,Dumfries,Prince William County,VA,17379,2553,6.81,6235,6084,339600,115000
22026,Dumfries,Prince William County,VA,14258,1768,8.06,4737,4396,246500,77264
22125,Occoquan,Prince William County,VA,711,4700,0.15,400,368,321800,95446
22134,Quantico,Prince William County,VA,6862,290,23.67,1379,1299,201900,58461
22135,Quantico,Prince William County,VA,NA,NA,NA,NA,NA,NA,NA
22172,Triangle,Prince William County,VA,8699,689,12.63,3361,3033,377700,62042
22191,Woodbridge,Prince William County,VA,57598,3643,15.81,20329,18901,247200,79198
22192,Woodbridge,Prince William County,VA,53394,2879,18.55,20113,19339,295500,98169
22193,Woodbridge,Prince William County,VA,73047,4133,17.67,23150,22186,258000,90378
22194,Woodbridge,Prince William County,VA,NA,NA,NA,NA,NA,NA,NA
22195,Woodbridge,Prince William County,VA,NA,NA,NA,NA,NA,NA,NA
22623,Chester Gap,Rappahannock County,VA,670,552,1.21,271,248,201900,57404
22627,Flint Hill,Rappahannock County,VA,637,19,32.8,362,281,514200,74881
22640,Huntly,Rappahannock County,VA,532,23,23.6,284,232,498000,57949
22716,Castleton,Rappahannock County,VA,853,34,25,434,354,396300,55200
22740,Sperryville,Rappahannock County,VA,1313,17,78.95,757,575,337000,39950
22746,Viewtown,Rappahannock County,VA,NA,NA,NA,NA,NA,NA,NA
22747,Washington,Rappahannock County,VA,1132,29,38.82,676,505,409100,50069
22749,Woodville,Rappahannock County,VA,349,18,19.25,194,152,762500,67143
22407,Fredericksburg,Spotsylvania County,VA,54962,969,56.7,19758,18770,246100,78164
22408,Fredericksburg,Spotsylvania County,VA,26851,585,45.92,9728,9184,248800,84551
22534,Partlow,Spotsylvania County,VA,2796,82,33.94,990,916,172600,58854
22551,Spotsylvania,Spotsylvania County,VA,19242,111,173.82,7274,6666,229600,68313
22553,Spotsylvania,Spotsylvania County,VA,13935,312,44.63,4975,4706,299000,92521
22565,Thornburg,Spotsylvania County,VA,NA,NA,NA,NA,NA,NA,NA
22405,Fredericksburg,Stafford County,VA,29152,554,52.6,10632,10083,264300,84528
22406,Fredericksburg,Stafford County,VA,20757,286,72.62,7695,7267,317000,84980
22430,Brooke,Stafford County,VA,NA,NA,NA,NA,NA,NA,NA
22463,Garrisonville,Stafford County,VA,NA,NA,NA,NA,NA,NA,NA
22471,Hartwood,Stafford County,VA,NA,NA,NA,NA,NA,NA,NA
22545,Ruby,Stafford County,VA,NA,NA,NA,NA,NA,NA,NA
22554,Stafford,Stafford County,VA,51463,775,66.36,17173,16325,323100,103818
22555,Stafford,Stafford County,VA,NA,NA,NA,NA,NA,NA,NA
22556,Stafford,Stafford County,VA,25675,812,31.63,8483,8100,293900,101463
22610,Bentonville,Warren County,VA,1842,36,51.63,898,749,226300,52118
22630,Front Royal,Warren County,VA,30292,232,130.56,12856,11317,219500,60977
22642,Linden,Warren County,VA,4414,86,51.07,1894,1662,224000,76198
25414,Charles Town,Jefferson County,WV,17024,312,54.62,7008,6433,235100,72833
25423,Halltown,Jefferson County,WV,NA,NA,NA,NA,NA,NA,NA
25425,Harpers Ferry,Jefferson County,WV,12835,319,40.24,5603,4892,215200,67365
25430,Kearneysville,Jefferson County,WV,8112,169,47.86,3156,2929,200900,50619
25432,Millville,Jefferson County,WV,121,147,0.82,54,45,29100,70417
25438,Ranson,Jefferson County,WV,6266,705,8.88,2697,2411,158300,42737
25441,Rippon,Jefferson County,WV,NA,NA,NA,NA,NA,NA,NA
25442,Shenandoah Junction,Jefferson County,WV,1925,136,14.2,737,689,192300,73949
25443,Shepherdstown,Jefferson County,WV,7445,271,27.48,2907,2640,289900,69125
25446,Summit Point,Jefferson County,WV,1463,95,15.39,567,523,209300,54226
